event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,redshift_sample,H0_sample,theta_jn,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0028,0.2314918272033743,0.8052104667643448,0.1947895332356551,0.8054059340240097,0.02443342881419356,0.7034698941329178,0.8569173146943772,0.7176854492207487,0.4169342911002887,0.058238142199970644,0.14834822632684697,0.4942499872729124,0.35451513745014135,0.6795669264479489
event_0029,0.5706095515548233,0.5338570929491716,0.4665620076886597,0.5338570929491716,0.18283498913395102,0.6620188912146626,0.7105299110520039,0.5173681742923537,0.8197665273851982,0.7328054445983541,0.9565059863993719,0.5347452084340427,0.4824571886657845,0.48210836560128023
event_0030,0.027127575989464216,0.9695036348048963,0.03049636519510359,0.9695036348048963,0.14414906478393036,0.544858261769446,0.6127659886562768,0.0,0.7478726637854424,0.007801446663535274,0.1920211392526071,0.478546092379599,0.39698579261113776,0.48191493095921123
event_0031,0.14767499636454834,0.9383094697312218,0.06169053026877826,0.9383094697312218,0.6535566977532705,0.5750917616047364,0.5623679289383284,0.22942007480532947,0.8201280957093515,0.029109266135605803,0.2598788376188915,0.524579956634426,0.4912278259957913,0.5284366613212417
event_0032,0.4867676464566456,0.533870494990551,0.46612950500944905,0.533870494990551,0.9911312829899008,0.6588208366479846,0.5065172972978104,1.0,0.2721697926780633,0.18198047574139847,0.1022967437004503,0.5447242867515386,0.3437027285003529,0.5787730003097858
event_0033,0.045685002202615274,0.991109411368861,0.008890588631138965,0.991109411368861,0.2333583027941575,0.6576801716282301,0.7068008093304212,0.2683904265431958,0.9995953477499704,0.08869260561403668,0.9961558030788826,0.44172105005573975,0.6064764395233215,0.44684382178744037
event_0034,0.008664267571799156,0.9406138203621598,0.059205674234340776,0.9406138203621598,0.07960289537204299,0.6705775694977163,0.7570396488832921,0.0,0.7947653125991125,0.019133454558599768,0.21534274682011484,0.48610102796819027,0.40216605282160856,0.606317629558508
event_0035,0.48316096685355253,0.9288411068832567,0.07115889311674332,0.9288411068832567,0.1317190560539727,0.7112339962062888,0.8049293602011538,0.958325539895664,0.8229420985416676,0.16445999825471655,0.5681558587999587,0.5438728584235841,0.43878246699779766,0.57645533664619
event_0036,0.8752284635255407,0.7076504768852581,0.29285324449115724,0.7079531941795145,0.5603391823915858,0.7264863990117176,0.7145245333259784,0.9921701128639107,0.8947888431339569,0.8403188282784301,0.9543927305279067,0.4752760642744087,0.526973197714979,0.5088813990544484
event_0037,0.2972443440699448,0.8632075088169544,0.13679249118304557,0.8633938788068451,0.14869705188383192,0.5650209316098018,0.6203378680719766,0.7880546472831441,0.767007751902534,0.15866866190361056,0.5942043551703382,0.496044916951267,0.44730119664105794,0.492545479676081
event_0038,0.0034900539098954653,0.9384111043849213,0.06158889561507899,0.9384111043849213,0.027099131129180276,0.5824265652358978,0.7179223312677931,0.06015188190071566,0.668240804196389,0.004105935183006023,0.04845001242568285,0.5033872835754567,0.4144939867460604,0.5532744738513588
event_0039,0.0009810529206148557,0.9996075788811082,0.0003924211188918496,0.9996075788811082,0.01471579126243431,0.3590279443748222,0.5287028968097087,0.03668955378349545,0.5691216475990755,0.011295065923181483,0.2416462487834193,0.5527010444553218,0.4476673255121331,0.5602964367238903
event_0040,0.483281710688831,0.6734071846660774,0.3265928153339226,0.6734071846660774,0.8858848321129014,0.6955680589179298,0.6312213066839635,0.11489093605215947,0.5762078827187365,0.27935397263978834,0.297043855673664,0.5332439435204928,0.4243785112872408,0.5812595661129722
event_0041,0.047351822413390116,0.9980015553401425,0.001998444659857726,0.9980015553401425,0.3363366586683343,0.5981251654678436,0.627699199589863,0.9992006223939403,0.9518373380437546,0.011571059018283564,0.3742867439385129,0.48342119312292664,0.45462523145198325,0.556550413854878
event_0042,0.3735026265125229,0.9867516271031989,0.013248372896801069,0.9867516271031989,0.5097997466041949,0.626028767890952,0.6217700093214124,0.0,0.9822621509342845,0.08678305160244365,0.9512675968368339,0.5056202333761692,0.5050584034187738,0.47020320205018107
event_0043,0.08918664415461507,0.9747502782165893,0.025249721783410617,0.9747502782165893,0.00879093459554258,0.5882695858427135,0.7914538202707624,0.0010273930478087963,0.7190064426226912,0.05804385459814501,0.19314944050033403,0.5133416879425495,0.4220457843117619,0.5345573274178912
event_0044,0.17645625788702127,0.8836992168836479,0.11611782487925604,0.8836992168836479,0.14780578376640324,0.5506099519422525,0.6788727543151267,0.12246655156848878,0.6514646325572935,0.26834935884263494,0.4392330887426576,0.5329134109266633,0.4910378686061849,0.5155940321032315
event_0045,0.10101293213191165,0.9920928662749184,0.007907133725081368,0.9920928662749184,0.6401214489549589,0.7756241230466854,0.7662213028250909,0.9999999999999999,0.9915191383751971,0.048099338496515265,0.9194305039880128,0.5092167639564859,0.48561962568226513,0.5779904079866711
event_0046,0.1367678761848758,0.971111061895332,0.028888938104667992,0.971111061895332,0.9436363635018453,0.6292928558185514,0.517777752091594,0.0,0.8642423067809235,0.0032323361846778318,0.1256564305398964,0.550707013598543,0.41838389979399715,0.5476768390476763
event_0047,0.7683316399326185,0.11035581988320668,0.8894595992745137,0.11035581988320668,0.9012029415822282,0.6499442831650298,0.5065517203259722,0.9102690102206397,0.07166381516250067,0.5963235911633513,0.15918112783060595,0.5239948163895077,0.3232214285616227,0.6103019888647141
event_0048,0.9780552119456402,0.4159416117711432,0.5842227853929673,0.41623395945703706,0.18318605927883744,0.6306613887651116,0.7089647511538766,0.8379901528718173,0.8109922035911123,0.842413535831479,0.8521022705204764,0.4618207884067872,0.5678695872125263,0.45917632031465283
event_0049,0.46282803567242536,0.7282773049095723,0.27172269509042773,0.7282773049095723,0.6684042942275948,0.7151153277648075,0.6705165428682434,0.7212610721138468,0.8135478467076893,0.45205523733734954,0.907137835298919,0.5803585147778683,0.457127624455518,0.5340314989916998
event_0050,0.1664423721947225,0.8677284283632892,0.13227157163671077,0.8677284283632892,0.768347417377405,0.6166151932573376,0.5307269469451015,0.15991926257289574,0.6253543112937876,0.10289509157928012,0.27325296445569713,0.48186293511445855,0.39690659674524265,0.5495825462726996
event_0051,0.05550806871277192,0.9753741763176085,0.02462582368239156,0.9751934268939901,0.0,0.4552370669226831,0.7979170401667368,0.00018091864085794472,0.830456772324189,0.11299974644783628,0.495166182421106,0.48663548398215517,0.5407309187845595,0.4810366518929077
event_0052,0.26764102428924313,0.6194592845362934,0.3805407154637065,0.6194592845362934,0.23762422050853366,0.7005901311817828,0.7321585276650047,0.5830783408950189,0.6776214329351758,0.5094122262262409,0.7161242862056585,0.4687824012684437,0.4363172567213256,0.5392297144557586
event_0053,0.47355765813254413,0.5286456600162472,0.47135433998375276,0.5286456600162472,0.5011409959598343,0.6625487355758236,0.6717085616889046,0.49444696678058075,0.659738518966395,0.6440438078493057,0.8380826579330196,0.4895510201445185,0.48368251346793883,0.5163867497148942
