event,n_samples,frac_in_support,ess_base_fullL,ess_new_reweighted,ess_new_frac
event_0083,5207,0.6473977338198579,5192.694911586537,1947.8033818171095,0.37407401225602255
event_0084,5528,1.0,5527.9930518721185,4393.1143816589065,0.7947023121669512
event_0085,5711,0.862195762563474,5710.98650544639,2796.5821311247814,0.48968344092536886
event_0086,5154,0.6655025223127667,5143.379438895858,1440.2440291265125,0.27944199245760815
event_0087,4951,0.49868713391234093,4950.999999983597,712.179374794182,0.1438455614611557
event_0088,5304,1.0,5302.445542824813,4003.1148512681734,0.7547350775392484
event_0089,4922,0.8695652173913043,4910.872489900645,2447.4890252451487,0.49725498278040403
event_0090,5543,0.053039870106440554,5540.896207834539,103.96466817565873,0.01875602889692562
event_0091,5106,1.0,5105.996117567708,2917.0593642463296,0.5713003063545494
event_0092,4915,0.9987792472024415,4914.999084105914,3728.406714520905,0.7585771545312117
event_0093,5209,0.848339412555193,5208.864693898928,2855.777366897528,0.5482390798421055
event_0094,4988,0.6621892542101042,4986.5689629902745,881.5172228036106,0.17672759077859074
event_0095,6099,1.0,5814.000544552551,2416.2061658732587,0.39616431642453825
event_0096,5437,0.3003494574213721,5309.350053385754,1065.7279092508963,0.19601396160582976
event_0097,4747,0.7156098588582263,4746.999986564205,1787.6047380000211,0.3765756768485404
event_0098,4968,0.9832930756843801,4967.990263487288,3191.737664582084,0.6424592722588736
event_0099,5456,1.0,5455.99999361079,4498.060272695588,0.8244245367843819
event_0100,5210,1.0,5209.991271204954,4263.721450368995,0.8183726392262946
