event,chirp_mass,mass_ratio,mass_1_detector,mass_2_detector,luminosity_distance,theta_jn,redshift_sample,H0_sample,lambda_1,lambda_2,lambda_tilde,delta_a0,delta_a1,delta_a2
event_0062,0.11337903214192008,0.6991101638987404,0.3003483121185626,0.6984316085222997,0.28051947947651207,0.45865409186760314,0.5840174516417599,0.6356761556797639,0.3940556022415951,0.3150901243457426,0.3323253634868453,0.5194703446214046,0.42070283467037883,0.5102686936085274
event_0063,0.2880437423826527,1.0,0.0,1.0,0.005691165435930052,0.9622021130757656,0.4269592980031124,0.7319093741583329,0.44328413002170136,0.15131089772905887,0.2424689064565299,0.645404357043797,0.5060687423647925,0.8365005289432785
event_0064,0.2643686436350484,0.9894361086987882,0.010563891301211796,0.9894361086987882,0.09254089881096939,0.14599882534786843,0.637502431836584,0.7231010900867461,0.9612087751044416,0.3714559636407976,0.8306369922265195,0.42061978826053403,0.5160355562555491,0.49820671864355115
event_0065,0.6082412052994808,0.14713404852668635,0.8527252331064674,0.14713404852668635,0.4566219228909709,0.9991338215564193,0.5271321893288038,0.5204661881620244,0.16192486330161998,0.8186840072311583,0.38906649577489194,0.5131322312219846,0.4597516565407045,0.45667291927825987
event_0066,0.9112403057556746,0.48258450204073783,0.5177862856312929,0.48258450204073783,0.5196516899019732,0.9992663349220542,0.6953458825664762,0.6783382401963239,0.7802906445810658,0.8567591847354831,0.9315526255385913,0.5373822106808399,0.4808063338266629,0.49286174023360263
event_0067,0.7461549814676716,0.7977558608731972,0.202244139126803,0.7977558608731972,0.003846176381864715,0.9995175307835568,0.4718096041411011,0.6824826494720941,0.9059565615251606,0.6602104255517749,0.8135387457738545,0.45072561899794883,0.6094887050668011,0.4345688859406713
event_0068,0.30456364814111264,0.8795504717858492,0.12016359965576215,0.8795504717858492,0.9438237916251169,0.7894445013068457,0.6289724111363729,0.5634251234259715,0.5247172525844777,0.035032481070269406,0.11241313336065567,0.5153653397354019,0.3774150015938543,0.4965282025844322
event_0069,0.23774866330693079,0.3630247300681395,0.6369752699318605,0.3623706532112376,0.7857218601473641,0.006064766759845161,0.6253763195315292,0.5660460974488939,0.15220319501737573,0.23808346833786576,0.11762959900158348,0.47344173349121926,0.37623371117243987,0.5760657436304649
event_0070,0.1818517812399203,0.9653628089594455,0.03435049051289048,0.9646644274679445,0.7219785449540499,0.4125731206911183,0.6042140908341174,0.5634767422021552,0.8735801271778347,0.25258900300372455,0.6191144605421115,0.4737160949757153,0.5141461596917452,0.559398204058011
event_0071,0.5817856242651458,0.1205599023585676,0.8794151917302375,0.1205599023585676,0.8093710959722553,0.17330477793602894,0.7062850834882661,0.5829413817329536,0.05138850519034913,0.4256310296614227,0.12168522353481462,0.5489262477601553,0.34326123297910993,0.6745980242997018
event_0072,0.0024468358907480726,1.0,0.0,1.0,0.17054207757990877,0.35234563610642966,0.5589757705787117,0.6151440160613918,1.0,0.035869995653249234,0.9449288546708932,0.4142679695663072,0.6129849631256091,0.5471706039382345
event_0073,0.7321302644783096,0.1084234803063052,0.8915765196936949,0.1084234803063052,0.22354456155216038,0.6680402938829315,0.6971132223049636,0.7566406222100717,0.9215388322425906,0.9886977975489034,0.9643028479066986,0.43995770069589946,0.6391257709611866,0.41210667929493316
event_0074,0.9910946671716548,0.06709538096080822,0.9329046190391918,0.06709538096080822,0.0263336758617954,0.8839186754046913,0.5288183614759958,0.660358460195247,0.2807113925066027,0.9751116227898737,0.8593756601682003,0.4679270987738353,0.5832457843113154,0.5270497659712505
event_0075,0.12946504242812107,0.6656483781186023,0.33435162188139783,0.6656483781186023,0.7378639368340381,0.33417778528024106,0.7046889196512525,0.6678975158446215,0.3564132025928538,0.12006091621964635,0.16533542521055072,0.5263374522856703,0.3962556449754392,0.6499176520524026
event_0076,0.6906446167604656,0.639696353104281,0.36030364689571903,0.639696353104281,0.18195768812600666,0.8444986117116082,0.5994099592329788,0.6490547995454972,0.583281735626505,0.31824994439803617,0.4278309512239964,0.5235818780179357,0.45314621655324117,0.5232163707731958
event_0077,0.9818160976206318,0.07878527519788345,0.9212147248021167,0.07878527519788345,0.023710323807516247,0.3552700805661243,0.5920378449404538,0.7356670187763752,0.36085879821297195,0.8845155863748528,0.67979049616569,0.4885604378050821,0.4466900811954692,0.42061113349378404
event_0078,0.26036110591391826,0.4544231445004493,0.5455768554995508,0.4544231445004493,0.9437193230568002,0.9751339032487506,0.7282970666171309,0.621843634705207,0.7035378680436112,0.7557886699596109,0.7722206927741184,0.538143565845479,0.4054104477491415,0.49429623498881936
event_0079,0.480401286394293,0.4182900253280961,0.5814351484398097,0.4182900253280961,0.18515410779802557,0.9803018793021381,0.6504330224386994,0.6816129301903111,0.5716731236209606,0.6880193221938053,0.6954802694081724,0.46883653402583847,0.4645523911326421,0.5122912024054314
event_0080,0.42545518011612027,0.6826092225953848,0.31739077740461513,0.6826092225953848,0.17360787502371033,0.11626610550957953,0.528690185903833,0.5768406023410866,0.7079873857298818,0.3703088948636005,0.6322164960136776,0.5217104261355324,0.49373554574977996,0.466323249928177
event_0081,0.5876339834162172,0.53038072469407,0.46961927530593006,0.53038072469407,0.7564047559384685,0.8783048591603833,0.8403580077942079,0.8403580077942079,0.47637435282621365,0.3983526535572388,0.4117830263994698,0.5250216951124428,0.24469221235479122,0.5016054170903339
event_0082,0.0012711477602662651,0.6469730269384131,0.3525119221311924,0.6469730269384131,0.0010553491773044228,0.001826376548599627,0.3504520275973331,0.5893219549776956,0.18574538820398517,0.02048171897294717,0.01654790761688501,0.4836959195188958,0.49852124680134857,0.5304955319839729
event_0083,0.27480390864699106,0.8264722155520072,0.17352778444799283,0.8264722155520072,0.6993481017632774,0.779772577393978,0.694383860021673,0.6356604596070583,0.6937927344335485,0.42218661362378107,0.5766646772446904,0.5078717745293013,0.44030499284014063,0.5145868356400227
event_0084,0.3819383720022156,0.43212271768958727,0.5678772823104127,0.43212271768958727,0.823310069313306,0.8330551972985747,0.630731758506658,0.6004630759955275,0.45544753979998887,0.616647320708003,0.6048344737153755,0.5091590865180569,0.490239644540734,0.5076861133153612
